sensorNumber,group,cx,cy
1,"center",6,6
2,"center",22,6
3,"center",38,6
4,"center",68.5,6
5,"center",99,6
6,"center",115,6
7,"center",131,6
8,"center",6,15.5
9,"center",22,15.5
10,"center",38,15.5
11,"center",68.5,15.5
12,"center",99,15.5
13,"center",115,15.5
14,"center",131,15.5
15,"center",6,25
16,"center",22,25
17,"center",38,25
18,"center",68.5,25
19,"center",99,25
20,"center",115,25
21,"center",131,25
22,"center",6,45.5
23,"center",22,45.5
24,"center",38,45.5
25,"center",68.5,45.5
26,"center",99,45.5
27,"center",115,45.5
28,"center",131,45.5
29,"center",6,66
30,"center",22,66
31,"center",38,66
32,"center",68.5,66
33,"center",99,66
34,"center",115,66
35,"center",131,66
36,"center",6,75.5
37,"center",22,75.5
38,"center",38,75.5
39,"center",68.5,75.5
40,"center",99,75.5
41,"center",115,75.5
42,"center",131,75.5
43,"center",6,85
44,"center",22,85
45,"center",38,85
46,"center",68.5,85
47,"center",99,85
48,"center",115,85
49,"center",131,85
50,"top",6,35
51,"top",22,35
52,"top",38,35
53,"top",68.5,35
54,"top",99,35
55,"top",115,35
56,"top",131,35
57,"top",6,20
58,"top",22,20
59,"top",38,20
60,"top",68.5,20
61,"top",99,20
62,"top",115,20
63,"top",131,20
64,"top",6,6
65,"top",22,6
66,"top",38,6
67,"top",68.5,6
68,"top",99,6
69,"top",115,6
70,"top",131,6
71,"bottom",6,5
72,"bottom",22,5
73,"bottom",38,5
74,"bottom",68.5,5
75,"bottom",99,5
76,"bottom",115,5
77,"bottom",131,5
78,"bottom",6,20
79,"bottom",22,20
80,"bottom",38,20
81,"bottom",68.5,20
82,"bottom",99,20
83,"bottom",115,20
84,"bottom",131,20
85,"bottom",6,34
86,"bottom",22,34
87,"bottom",38,34
88,"bottom",68.5,34
89,"bottom",99,34
90,"bottom",115,34
91,"bottom",131,34
92,"left",33,6
93,"left",33,25
94,"left",33,45.5
95,"left",33,66
96,"left",33,85
97,"left",18,6
98,"left",18,25
99,"left",18,45.5
100,"left",18,66
101,"left",18,85
102,"left",4,6
103,"left",4,25
104,"left",4,45.5
105,"left",4,66
106,"left",4,85
107,"right",7,6
108,"right",7,25
109,"right",7,45.5
110,"right",7,66
111,"right",7,85
112,"right",22,6
113,"right",22,25
114,"right",22,45.5
115,"right",22,66
116,"right",22,85
117,"right",36,6
118,"right",36,25
119,"right",36,45.5
120,"right",36,66
121,"right",36,85